,mean_daily_return,annualized_volatility,diagnostic_annualized_sharpe,min_daily_return,max_daily_return,gross_exposure,net_exposure
EigenPC1,0.000487102105273706,0.1776607782625943,0.6909219453465512,-0.10677277598545278,0.11645837935172575,1.0,0.8730759957187301
EigenPC2,0.00021963060049466727,0.06224235106091317,0.8892162712570284,-0.03994527803366042,0.0323628242823488,1.0000000000000002,0.8797299142655607
EigenPC3,-8.11511950894394e-05,0.09964408605320563,-0.20523145901121784,-0.0398988150860652,0.043716551426849305,0.9999999999999998,0.10755997143977115
EigenPC4,0.00023475093841257444,0.0898173269287937,0.6586394686057407,-0.029886149506967285,0.03555984077574036,0.9999999999999998,0.000673913178504286
EigenPC5,9.573942934189245e-05,0.07347359550531939,0.32836743633173887,-0.04350140108968706,0.041136091641126714,1.0000000000000002,-0.03456355317711349
