asset,asset_class,mom_21d,mom_63d,vol_21d,vol_63d,drawdown_63d,snapshot_cluster,pc1,pc2
AAPL.US,us_single_stock,0.06919091768143071,0.051587076853852665,0.23542492458250106,0.25774827023758623,-0.023429040338726947,0,0.17405487823328433,0.3159441843930461
MSFT.US,us_single_stock,0.10160196666396537,-0.05718397235873718,0.332457865165804,0.2983786783888031,-0.058070775200961045,0,0.7072993964044735,-0.41888645092980725
GOOGL.US,us_single_stock,0.33815551537070543,0.13842078434470317,0.39294595282519673,0.3465014548064825,0.0,2,2.360992300835493,1.9460479853774257
NVDA.US,us_single_stock,0.14432339449541254,0.036729426970236734,0.3380683776038492,0.3913737204881604,-0.07866672822122722,0,1.4348271607735306,-0.47710500267174133
JPM.US,us_single_stock,0.07026256848665646,0.027440733467315903,0.1941696661652566,0.2397689389744389,-0.02348523770806621,0,-0.10497383871560909,0.3161735210605616
JNJ.US,us_single_stock,-0.05968744886270627,0.016639088921531098,0.16929575150576617,0.1634213838048238,-0.07527357579658833,0,-0.879756167982855,-0.9488543290286233
XOM.US,us_single_stock,-0.09035718495815193,0.10567733393705114,0.3317905868020483,0.2970643922654231,-0.09995917653233799,0,0.3473708370146445,-1.5877196177513213
WMT.US,us_single_stock,0.06155431208295803,0.12597480555194518,0.2732434606200761,0.27941360568062945,-0.012616853614954349,0,0.5013557721937579,0.5564500065160749
XLK.US,us_sector_etf,0.20015048908954136,0.08734480624129204,0.18995979549306952,0.2614743256022477,-0.006663760353739723,0,0.5635129054382227,1.3041235961005897
XLF.US,us_sector_etf,0.055904395381811245,-0.021512460559237834,0.1337817106428326,0.17489478656611804,-0.034316676700782645,0,-0.6988305648214527,0.12433871829605256
XLE.US,us_sector_etf,-0.02628142344107076,0.18867322944482123,0.26754208711479055,0.2291537613394958,-0.046515345268542285,0,0.1731424868892874,-0.1222660361999641
XLV.US,us_sector_etf,-0.004228906623013784,-0.04700170115320679,0.16281468355285914,0.15674373325701033,-0.084955194206492,0,-0.8087414091700612,-0.955370644141986
XLP.US,us_sector_etf,0.02842156623566705,0.03232141916951403,0.16326486393723594,0.1572584693300978,-0.058054078935314,0,-0.5692493874986309,-0.20942916994982663
XLU.US,us_sector_etf,0.02091959032468904,0.08879551560335752,0.1773481765888872,0.1741898679728882,-0.01157418151590972,0,-0.4809291747050038,0.5348728314336024
SPY.US,broad_equity_etf,0.10505274164283263,0.03830139635977492,0.11710951325216833,0.1514866078015039,0.0,0,-0.5963146287443878,1.0693271355526028
IWM.US,broad_equity_etf,0.12084677419354839,0.05731292575226554,0.16470109480481945,0.2177945751959651,0.0,0,-0.08420883936385275,1.0392999417698443
EFA.US,intl_equity_etf,0.05343354267476541,0.006195299439471391,0.20308155800607947,0.21387576915324155,-0.031610827181525636,0,-0.23927641139214295,0.11086368919845506
EEM.US,intl_equity_etf,0.12678288431061757,0.058735936465917016,0.2588416127688921,0.28707630452043736,0.0,0,0.5612285258234763,0.8930509192414803
FXI.US,intl_equity_etf,0.024791086350975045,-0.09784207945071155,0.15244631042751894,0.20072996261102832,-0.0711941428932088,0,-0.7392311466288227,-0.8150540856066223
SHY.US,fixed_income_etf,0.0019054395181334893,0.0033809133956641535,0.013788883180264996,0.01591140442899419,-0.0027684304345454436,0,-1.9470612038337438,0.7537717095553907
IEF.US,fixed_income_etf,-0.0015019528551342143,-0.0012059277203008145,0.04198159144093956,0.05326267895037511,-0.024671808386787064,0,-1.6830555925484278,0.31596600767006217
TLT.US,fixed_income_etf,-0.008396171912869121,-0.011893647531962426,0.06829517692356274,0.10003814443209308,-0.05034226864721214,0,-1.4167368103236955,-0.22724915466995627
AGG.US,fixed_income_etf,0.0016855317081783117,-0.0007688720141700855,0.03445485765282915,0.043218115332279324,-0.016286972613026807,0,-1.7520458376161667,0.4797477116194419
HYG.US,fixed_income_etf,0.015203684941559326,0.006619206777826125,0.040874118113954784,0.052388061741351785,-0.003347879032630008,0,-1.6560676273010742,0.7336950810269631
GLD.US,commodity_etf,-0.015408213065606802,-0.14567453115547502,0.21289561575748453,0.3999574119156255,-0.13538775510204082,0,0.014284153610216555,-2.499313965454862
SLV.US,commodity_etf,-0.02171998825946586,-0.36857061665245794,0.40770777553509036,0.913356705762937,-0.21567243205082953,1,2.1161164720555017,-5.359972470155967
DBC.US,commodity_etf,0.0742659758203803,0.2292490118577073,0.2213056076682474,0.2612814081130727,0.0,0,0.4590013227654199,1.110514974562921
USO.US,commodity_etf,0.1559135559921414,0.8586050037907522,0.7680435765606549,0.6649624726885297,-0.023501294562836006,2,5.756730230232196,1.6289531515261226
EURUSD.FOREX,fx_spot,0.013392085709347912,-0.01029448991646309,0.058594887377587945,0.07525697293037886,-0.019806117332441975,0,-1.5134378016235766,0.3880797616600408
