window_end,window_start,observations,pc1_explained_variance_ratio,pc2_explained_variance_ratio,pc3_explained_variance_ratio,pc1_pc3_cumulative_explained_variance_ratio,pc1_abs_cosine_similarity_to_previous_window
2010-04-12,2007-04-12,756,0.49304332969713266,0.09416494410072256,0.08156593191108957,0.6687742057089447,
2010-05-11,2007-05-11,756,0.4955172653223069,0.09382345495427662,0.08079909755374243,0.670139817830326,0.9999814417716898
2010-06-10,2007-06-12,756,0.49976036692881154,0.09296982773347873,0.07930820136005227,0.6720383960223425,0.999961201460535
2010-07-12,2007-07-12,756,0.5007968847396125,0.09240397144561482,0.07887593279498473,0.6720767889802121,0.9999934281687992
2010-08-10,2007-08-10,756,0.5009468113092767,0.09222254392781042,0.07909541321237828,0.6722647684494654,0.9999901727273831
2010-09-09,2007-09-11,756,0.5025510593261008,0.09210998834687564,0.07866194623917618,0.6733229939121527,0.9999943545113393
2010-10-08,2007-10-10,756,0.5031386791245658,0.09220639097623667,0.07825486740860563,0.6735999375094082,0.9999975523334373
2010-11-08,2007-11-08,756,0.5030815114977704,0.0922733414949112,0.07846448092058479,0.6738193339132663,0.9999850404391463
2010-12-08,2007-12-10,756,0.5042325294797194,0.09256832734312223,0.07827155752725648,0.6750724143500981,0.9999645120340545
2011-01-07,2008-01-10,756,0.5039180085138607,0.09221707214934013,0.07868122257253705,0.6748163032357379,0.9999896124590781
2011-02-08,2008-02-11,756,0.5069832505751005,0.09253065320584697,0.07880929727016354,0.678323201051111,0.9999698438874128
2011-03-10,2008-03-12,756,0.507496705908739,0.09306729446299387,0.07881082788059636,0.6793748282523292,0.9999851798142114
2011-04-08,2008-04-11,756,0.5079220446997569,0.09142965532849964,0.07840813301686834,0.6777598330451249,0.9999638950826354
2011-05-10,2008-05-12,756,0.5107133223143969,0.09039834260385551,0.07888330594540122,0.6799949708636537,0.9999712713851134
2011-06-09,2008-06-11,756,0.5132035924720563,0.08767413478940497,0.07920193961034827,0.6800796668718095,0.9999729926717965
2011-07-11,2008-07-11,756,0.518318351011984,0.08626253487462943,0.07840610131296563,0.6829869871995791,0.9999517797504452
2011-08-09,2008-08-11,756,0.5272169245631095,0.08365885636198245,0.07689825039058347,0.6877740313156755,0.9999239465116083
2011-09-08,2008-09-10,756,0.5335657366167209,0.08444565462162247,0.07350637432163776,0.6915177655599811,0.9998562279811445
2011-10-07,2008-10-09,756,0.5304402342552544,0.08666873925306327,0.06847732076977582,0.6855862942780936,0.9992759979982136
2011-11-07,2008-11-07,756,0.5278400672901365,0.08514031602999016,0.07093945077787595,0.6839198340980026,0.9975274340016037
2011-12-07,2008-12-09,756,0.5130318499751894,0.09005489677901107,0.07204650650447972,0.6751332532586802,0.999524713104239
2012-01-09,2009-01-09,756,0.523543816111117,0.09025273318960349,0.07177097433495365,0.6855675236356741,0.9997622393478337
2012-02-08,2009-02-10,756,0.526367699581136,0.09094921320417522,0.06918969049286096,0.6865066032781723,0.9998813583777849
2012-03-09,2009-03-12,756,0.5246642863827816,0.0926746250959811,0.06851570554777926,0.685854617026542,0.9996340393722262
2012-04-10,2009-04-13,756,0.5281819631977274,0.09115574787091843,0.06671613530527921,0.686053846373925,0.999714470241039
2012-05-09,2009-05-12,756,0.5354001196487419,0.09023959288121282,0.06706397053401365,0.6927036830639685,0.9999180827625112
2012-06-08,2009-06-11,756,0.5392469968346149,0.08886044123962794,0.06595814143813859,0.6940655795123815,0.9999097477501445
2012-07-10,2009-07-13,756,0.5423799354082092,0.08874077929695491,0.0645684247840715,0.6956891394892356,0.999981620941312
2012-08-08,2009-08-11,756,0.5452046415315627,0.08810806431813928,0.06355569048685156,0.6968683963365534,0.9999555885263
2012-09-07,2009-09-10,756,0.5441792102265255,0.08950221204139842,0.06356381050143088,0.6972452327693548,0.9999862859988852
2012-10-08,2009-10-09,756,0.5445105630079025,0.08917248115311696,0.06386825807392807,0.6975513022349474,0.9999894676299164
2012-11-08,2009-11-09,756,0.5457405980463633,0.0887239783297578,0.0634192622090916,0.6978838385852126,0.9999859727268817
2012-12-10,2009-12-09,756,0.5455928844542869,0.08778985898532982,0.06402869671457509,0.6974114401541918,0.9999816073196717
2013-01-10,2010-01-11,756,0.548491409718404,0.08748302609592057,0.06387277903660439,0.699847214850929,0.9999856937657788
2013-02-11,2010-02-10,756,0.5434220086823471,0.0889971334995828,0.06395804939578613,0.696377191577716,0.9998911609441566
2013-03-13,2010-03-12,756,0.543369132686074,0.08887981627786501,0.06394453837340502,0.6961934873373441,0.9999914439382902
2013-04-12,2010-04-13,756,0.5439835354844046,0.08763666296595496,0.06390173410154394,0.6955219325519035,0.999984773194726
