asset,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,asset_class
AAPL.US,0.18908418771421703,0.021182757633771844,-0.1043235325508148,0.26832157750798524,0.01433463469811334,-0.1741481244380811,0.17781512870995597,0.0006691977729668069,-0.1101404692438662,0.11034411018074639,-0.2414136062115829,-0.4402224510999141,0.6367338234892981,-0.19282053700511542,-0.16601997298521856,0.06097422375596213,-0.11388591816776157,0.02650358084226717,-0.0405259820148013,-0.01986752158387518,0.06293268766091077,0.028881395980651457,0.0369127099297476,-0.1841230613371798,-0.0861469407838129,0.05852746606733201,0.03646507103081954,-0.005980827213660407,0.02265674435521591,us_single_stock
MSFT.US,0.20380427921478605,0.03598799134842213,-0.12273294012989124,0.22921124002134385,0.047387285928929386,-0.17704591253822455,0.1869622844602622,-0.08205874919779976,-0.03419486069137862,-0.00825884477278549,0.019565557966967476,0.010217787146068604,-0.33245972895846265,-0.002995945444629048,0.4438854729117569,0.6308261489492404,-0.07715678453022627,-0.017985303466156028,-0.0234616588001817,-0.0005779834609163553,0.03379944950188336,-0.07129506618711512,0.0884988780828447,-0.2768571348961042,-0.07591337969627544,0.04285772824177517,0.0426006793042359,-0.006067296436210964,0.007941881655184294,us_single_stock
GOOGL.US,0.1884129150997392,0.037390293192567085,-0.11805606639018953,0.2770682111704814,0.008562884026129147,-0.16815821928973415,0.116840369898686,-0.13554407508146565,-0.14995830355809017,0.017848853062724143,-0.29350333589571803,-0.2311947866563243,-0.48649762852238404,0.3301369096146746,-0.09037202687693521,-0.5249736229538614,-0.09244050405075446,-0.010311726338598603,0.04793249715514223,0.03500228543234154,0.01371450024540823,-0.013964630071912792,0.008723154261384751,-0.07463631474856643,-0.03964139702727119,0.010749609116586937,0.007847909637954543,-0.002664233263326892,-0.015112080139298314,us_single_stock
NVDA.US,0.17180411593894132,0.02066249513966738,-0.06924670657082746,0.3961767918020105,0.005335474971907893,-0.13283775095038639,0.09765617227626927,0.0664978898195104,0.09714339779828168,-0.3219660147319204,0.46668952449241496,0.4710202567582408,0.1414385805107057,-0.09065477452319029,-0.11670270830885182,-0.2517615328590101,-0.2319547418226499,0.024632574992600183,0.11329025604204607,0.08859749611575549,0.09153406550390127,0.01648263230741944,0.04256039897110127,-0.1549543315373263,-0.07519787569518929,0.04980235516425826,0.0301927602148149,0.007235640686957623,0.00471225982193034,us_single_stock
JPM.US,0.20631781359006626,-0.08530601698498244,-0.06890050596776988,-0.014617830612518389,-0.140320724134066,0.3242475261706807,-0.3112483925581448,0.027843857021639298,-0.4599969464330893,-0.028172417719251597,-0.08822618914766808,0.07638637326195932,0.0019666435981940344,-0.12739842596239312,0.12707371552465424,-0.00784295902278799,-0.2787183790068461,0.05005003070741592,-0.003902983288401477,0.07494226782136981,0.2220493017606793,0.056239045900156104,-0.014383970288217075,0.02838933124864044,-0.16599140826294873,-0.5087414326574519,0.19300683657266224,0.011084765395996149,0.03488549638619805,us_single_stock
JNJ.US,0.17088802202860048,0.03725691097963765,-0.13755672184535678,-0.38339809925365476,0.16428571548680831,-0.07155329219417214,0.12087743086395357,-0.3665176030526469,0.14820242946401505,-0.16473107561391542,-0.3220908342774548,0.22420706993000225,-0.0230390976605205,-0.30212626445779184,-0.11853046459365606,-0.01332605832573297,-0.4131274463556945,-0.11811303529091903,-0.054558237643509644,0.03358609475901785,-0.3177676869932638,-0.14399146559265932,-0.013706153311398522,0.035843070063369155,-0.0034332130746426996,-0.022629157808345533,-0.027302149275634235,-0.008819220680870675,0.005315432511051936,us_single_stock
XOM.US,0.20265136285337743,-0.022690788925763823,0.20540404506099774,-0.22733805897663037,-0.21347069798045717,-0.015618028865765167,0.04958900194146599,-0.009558816608235716,0.05194793533772676,-0.3909423938630313,0.15779012617074512,-0.3182094203274197,-0.08732310431861467,0.18394141581967455,-0.254916491753253,0.22020073207088353,-0.14488952437597077,-0.039210808398357194,0.10349109308202567,0.07395696510963944,0.14946567204119993,0.034096245208956676,0.027943681251891932,0.2958404295470741,-0.3320564515897034,0.24055463332417987,0.24667799533444884,-0.004872465309704585,-0.006537672330914335,us_single_stock
WMT.US,0.14080035798968057,0.03457980092937514,-0.17457873884283825,-0.26921356486058745,0.23141237364387945,-0.10858923433907644,0.24139400791283022,0.7028935413581577,-0.20668626491570494,0.13136589516977115,0.047911120503021445,0.08935852551493398,-0.13851582721948974,0.047979230215635736,-0.2542646722486,0.0543709509250266,-0.10136710958225315,-0.05922377363120462,-0.28246933834203897,-0.038789583776332785,-0.009234164326493256,0.0413515415782114,-0.028810837008350423,-0.02884194841000602,-0.007380075976440475,-0.007400065406976426,-0.007192636369546573,-0.0018977632306996345,-0.017381162959169073,us_single_stock
XLK.US,0.24897665692773074,0.036337459821641604,-0.11411195609540968,0.2530992026039411,0.032873922015317095,-0.1336316292235533,0.10247707769827494,-0.02479925364720449,-0.052088601575235885,-0.05478969484628715,0.04550091105924377,-0.005983395761331426,0.0547829982041435,-0.018598296946337262,0.07165783837764345,0.10205369628325857,0.09511497805544232,-0.04641514637032169,-0.032460708920510055,-0.03112593344317398,-0.08654306630622427,0.03830904431196822,-0.1560335277912626,0.6860212806359914,0.23953521805326294,-0.20547913753657002,-0.14524117590271632,0.008037418125823374,-0.4061103015542717,us_sector_etf
XLF.US,0.23786867816956048,-0.05283556358860871,-0.077130842573946,-0.03073312801416151,-0.11773532453582915,0.2606010778175407,-0.25402686191401447,0.024882978838179956,-0.3287829236381016,-0.01889754388267681,-0.040438857180503614,0.05528235936212361,-0.002480215000547602,-0.10563682940462224,0.08800199331873851,-0.03403511238861415,-0.07860317811059235,0.004904120068823029,-0.0023298853128109354,0.002721040929504225,0.007664794733161808,0.012750071376275558,0.06613290394539127,-0.0391089151004411,0.2324256019649017,0.6953708425138535,-0.24566010027258087,-0.03668019891714586,-0.20493596847484638,us_sector_etf
