date,window_start,window_end,observations,n_assets,n_components,pc1_explained_variance_ratio,pc2_explained_variance_ratio,pc3_explained_variance_ratio,pc4_explained_variance_ratio,pc5_explained_variance_ratio,pc1_pc5_cumulative_explained_variance_ratio,reconstruction_rmse,reconstruction_mae
2012-07-13,2007-07-27,2012-07-13,260,29,5,0.4841636319731569,0.10474611196139777,0.09312759574605302,0.042188786239752515,0.03713530995235412,0.7613614358727144,0.386092468230528,0.29978191985628383
2012-07-20,2007-08-03,2012-07-20,260,29,5,0.4823692792276878,0.10514222881177367,0.09355268791076057,0.04227279112281952,0.0370076006813608,0.7603445877544024,0.2651349651987577,0.2081412693585826
2012-07-27,2007-08-10,2012-07-27,260,29,5,0.48272660761543923,0.10514728258598213,0.09323374361483558,0.04225691888359139,0.03707032903115857,0.7604348817310069,0.32608454824098126,0.23226940908254168
2012-08-03,2007-08-17,2012-08-03,260,29,5,0.4830638542189296,0.10502186355805919,0.09338920620461075,0.042242884704172284,0.036977578279843555,0.7606953869656154,0.20008210625946501,0.17055715030614504
2012-08-10,2007-08-24,2012-08-10,260,29,5,0.48343741885446834,0.1053339418399145,0.0937860167079403,0.04209387766755045,0.03699620781759638,0.76164746288747,0.2251908025294343,0.18471592916730106
2012-08-17,2007-08-31,2012-08-17,260,29,5,0.48347716601336677,0.1053764706140254,0.09422820214797469,0.04214419723375591,0.03690713981377242,0.7621331758228953,0.3269729304991957,0.2712402736851026
2012-08-24,2007-09-07,2012-08-24,260,29,5,0.48366972081835446,0.10529732176565454,0.09438566728161946,0.04215043916313201,0.03666934081005247,0.7621724898388129,0.3277389877535694,0.2553614986948538
2012-08-31,2007-09-14,2012-08-31,260,29,5,0.48381396090712886,0.10503321461536506,0.09415198555594534,0.04219250407481166,0.03672121890810943,0.7619128840613603,0.25893708285732703,0.22546860927764614
2012-09-07,2007-09-21,2012-09-07,260,29,5,0.4837964871157175,0.10504199138938862,0.0940967993865573,0.0421770089117882,0.03686608042237888,0.7619783672258305,0.3077092524802479,0.23089748220624637
2012-09-14,2007-09-28,2012-09-14,260,29,5,0.4831777812529027,0.10518350679510179,0.09410433182032805,0.04221722132515615,0.03704600109400813,0.7617288422874968,0.3326494482736617,0.2506382467699382
2012-09-21,2007-10-05,2012-09-21,260,29,5,0.48331770326794676,0.10531449358117632,0.09403528333013131,0.042182650469261826,0.036911799732632374,0.7617619303811486,0.3482490455900158,0.27284858719063376
2012-09-28,2007-10-12,2012-09-28,260,29,5,0.48346069520547114,0.10520334900096817,0.09401839583330646,0.0421692072773236,0.03692868134947132,0.7617803286665408,0.3513117806418966,0.252561919063623
2012-10-05,2007-10-19,2012-10-05,260,29,5,0.48351595084337334,0.10521765729284142,0.09401078385203486,0.0420608682162249,0.03725945874119302,0.7620647189456675,0.2548715716333828,0.18807059580907518
2012-10-12,2007-10-26,2012-10-12,260,29,5,0.4836792325162862,0.1049989923740097,0.09431221560083745,0.04221164923240161,0.03614117439330043,0.7613432641168354,0.41265629646090235,0.3467549665340574
2012-10-19,2007-11-02,2012-10-19,260,29,5,0.48308362264802507,0.10517238128024078,0.09417902875293044,0.0423432781099303,0.03677722702216905,0.7615555378132957,0.5528335827447536,0.3978243858761155
2012-10-26,2007-11-09,2012-10-26,260,29,5,0.48401482434972376,0.10505203608637288,0.09420634455696632,0.04238787556740591,0.036353832360671606,0.7620149129211404,0.1784056268592829,0.13509085307780883
2012-11-02,2007-11-16,2012-11-02,260,29,5,0.48420479847055214,0.10476727494859137,0.09395607888330358,0.04249759585812883,0.03607305734174646,0.7614988055023224,0.4133591379711599,0.25458328055707147
2012-11-09,2007-11-23,2012-11-09,260,29,5,0.48524853277295843,0.10419911375256996,0.09400932531231802,0.04249792814464658,0.036007566408933975,0.761962466391427,0.3451798266691159,0.2542481382531334
2012-11-16,2007-11-30,2012-11-16,260,29,5,0.4861684735520315,0.10381416278142704,0.09401134670212222,0.042433491893876074,0.03583295608490534,0.7622604310143621,0.48342264645000016,0.3223564715561828
2012-11-23,2007-12-07,2012-11-23,260,29,5,0.487744994781459,0.1024498370663563,0.09396049088337277,0.04216399727314686,0.03584918191071721,0.7621685019150521,0.3890700823734057,0.2885240294882903
2012-11-30,2007-12-14,2012-11-30,260,29,5,0.48726083792124075,0.10252349735923923,0.09394306105526824,0.04212359615392445,0.0359785236617534,0.7618295161514261,0.3930114814609132,0.2616235858347016
2012-12-07,2007-12-21,2012-12-07,260,29,5,0.48778746921245103,0.1027179282706206,0.09350814419540224,0.04183121646299836,0.03624678723942529,0.7620915453808975,0.31889873631611254,0.21297228498855386
2012-12-14,2007-12-28,2012-12-14,260,29,5,0.4877725608250213,0.10268700295746944,0.09341975794570462,0.041877815901711746,0.03618853952152838,0.7619456771514354,0.46792887123108867,0.31429982140875673
2012-12-21,2008-01-04,2012-12-21,260,29,5,0.48784460481255343,0.1022983504117961,0.09344435878290007,0.04188208455616995,0.036161104371766596,0.7616305029351861,0.37866951166101814,0.2729365256361417
2012-12-28,2008-01-11,2012-12-28,260,29,5,0.487182269421909,0.10203927149951977,0.09313881109317393,0.042102148903474225,0.03644376932993744,0.7609062702480143,0.2637583778165641,0.2160125082697698
