Model,Seeds,Mean val_rank_IC,Stdev val_rank_IC,Min OOS Sharpe,Mean OOS Sharpe,Max OOS Sharpe,Stdev OOS Sharpe
MLP,10,0.13546005326492253,0.024946329207477993,2.023237632617635,2.2037723425824156,2.414814302097111,0.14842046872467554
LSTM,10,0.11790449325781474,0.021234301017213738,1.5540342906030926,1.9961783386069185,2.2698325491696036,0.18413014015523085
Transformer,10,0.16551678414383256,0.017241473666978983,1.8424314799974546,2.1363320136990183,2.380971158747376,0.1536285411221144
