Family,Strategy,Ann Ret,Ann Vol,Sharpe,Hit%,Max DD,Calmar,Turnover,Net 10bps,NetStrat
Classical MV,EW,0.1260032005193883,0.1388740980377291,0.9242434443838948,67.5,-0.378613783634635,0.3328014086274848,0.0062027295115625,0.9241278937574154,0.9241974294710632
Classical MV,VMP(EW),0.15309534269424,0.13369686851326,1.1327513413743695,—,-0.2732430786677066,0.5602899200254611,0.0062027295115625,1.132630140161788,1.1327031160348906
Classical MV,GMV(sample),0.0301718828408024,0.0315531750635617,0.9578874165354004,70.71428571428572,-0.0962092355394183,0.3136069283955648,0.1816143416983606,0.9437130376598069,0.9534673136906056
Classical MV,VMP(GMV(sample)),0.0313144726949921,0.0231179398822279,1.345422771038833,—,-0.0852832073301943,0.3671821648750925,0.1816143416983606,1.326115578159492,1.3394070824362652
Classical MV,GMV(ledoit_wolf),0.0381481138031212,0.0400952207930385,0.9538440224159674,68.57142857142857,-0.1108598579223877,0.3441111554538386,0.5447050192534396,0.9195653238448857,0.9440264956054532
Classical MV,VMP(GMV(ledoit_wolf)),0.0446898426350361,0.0365458731619441,1.2146856570277496,—,-0.1266494635428917,0.3528624708299792,0.5447050192534396,1.1770075600136776,1.2038984266977455
Classical MV,GMV(oas),0.0335896277086706,0.0364283201100893,0.9251812058924208,69.28571428571428,-0.1010288101560347,0.3324757329794631,0.4771987060382713,0.8922011203750965,0.9160536266844288
Classical MV,VMP(GMV(oas)),0.0386159102284537,0.0318161946206863,1.2068712283765002,—,-0.1160380763574895,0.332786542492191,0.4771987060382713,1.1690775428319995,1.196412823126331
Classical MV,MSR(sample),0.0671139732957972,0.075774966134442,0.8951921676108489,69.28571428571428,-0.1999177617784326,0.3357079065850046,4.942171292481335,0.7299745361333655,0.8463247791340317
Classical MV,VMP(MSR(sample)),0.0758596720338911,0.0577717923424877,1.294714390970955,—,-0.1010016334429195,0.7510737148301939,4.942171292481335,1.077184499880467,1.2303574866062563
Classical MV,MSR(ledoit_wolf),0.1120935327764143,0.1055869809946671,1.0592197127612069,68.57142857142857,-0.1984797831751207,0.5647604556153362,4.797782588316482,0.9436691103717688,1.0191443604081531
Classical MV,VMP(MSR(ledoit_wolf)),0.1306801380951103,0.10344410070059,1.2393134770471608,—,-0.2136648704175971,0.6116126522797252,4.797782588316482,1.1211252230502249,1.1983253081409533
Diversification,MDP(sample),0.0567177312739912,0.0513251766396734,1.1006248975547015,70.0,-0.1775152675601061,0.3195090318346101,2.6179201777843963,0.9716764245342498,1.0678565847055368
Diversification,VMP(MDP(sample)),0.0651746718093218,0.0469715035563561,1.367849788281985,—,-0.1270815409010159,0.5128571100667287,2.6179201777843963,1.2268653336626576,1.332034076586884
Diversification,MDP(ledoit_wolf),0.0655133051081624,0.0557372393290549,1.166498710868083,68.57142857142857,-0.1480330164603202,0.4425587390886077,0.7848068501670783,1.1308263743582898,1.1544947770339098
Diversification,VMP(MDP(ledoit_wolf)),0.0770123910775908,0.0552025698644319,1.3717752909551255,—,-0.1303305359755706,0.5909005936415864,0.7848068501670783,1.335750091498154,1.359656522764139
Diversification,RP(sample),0.1165340929822646,0.1273872467313185,0.9292982045500844,67.85714285714286,-0.3309919515739138,0.3520753070524177,0.0855239140546796,0.9276818732202852,0.9286733925975482
Diversification,VMP(RP(sample)),0.1409325002089922,0.1259802502121791,1.109949469921077,—,-0.262255904494429,0.5373854231449192,0.0855239140546796,1.1083207490953466,1.109320052796992
Diversification,RP(ledoit_wolf),0.1162469271204298,0.1276701322812577,0.9255109478460172,67.85714285714286,-0.3290322932700258,0.3532994465835906,0.1089518392993098,0.9234545536607812,0.9247125260684274
Diversification,VMP(RP(ledoit_wolf)),0.1409668627229197,0.1262352498811539,1.1082019374115637,—,-0.2615439425738612,0.5389796503626155,0.1089518392993098,1.1061222109547308,1.1073943682881258
Diversification,HRP(sample),0.068007206253031,0.0649595201485648,1.045465634335775,68.92857142857143,-0.1657148978170441,0.4103867977405006,3.9678333616573185,0.8910383581085679,1.001367087316804
Diversification,VMP(HRP(sample)),0.0754418822612956,0.0635974603331592,1.175619696404873,—,-0.1509766983316197,0.4996922246609729,3.9678333616573185,1.017787591711439,1.1305408892924584
Diversification,HRP(ledoit_wolf),0.0714471282610416,0.0650958133968878,1.0928064446061496,68.21428571428572,-0.1565042577461226,0.4565187509271561,3.3705150418112813,0.962034716735497,1.055065172262872
Diversification,VMP(HRP(ledoit_wolf)),0.079867849573312,0.0640388685585243,1.232097300372488,—,-0.1341079975558712,0.5955487445112141,3.3705150418112813,1.0990774209906249,1.1937166425709138
Regime Switch,SWITCH(sample),0.0830679535924736,0.0807346058248277,1.028816583190302,70.71428571428572,-0.190427154095936,0.436219057029149,3.278457164655076,0.9246011369895244,1.0005072450632504
Regime Switch,VMP(SWITCH(sample)),0.0926586840927408,0.0704742924556103,1.2927959218494125,—,-0.1311034626876785,0.7067600061294883,3.278457164655076,1.1734386364641394,1.2603882973708496
Regime Switch,SWITCH(ledoit_wolf),0.0955427659625944,0.088081452075983,1.080095421801894,70.0,-0.20164565089487,0.4738151581181716,2.0355148317091176,1.0202598670944485,1.060415072358039
Regime Switch,VMP(SWITCH(ledoit_wolf)),0.1060482829887941,0.0824061399162858,1.2645392268994484,—,-0.1739396797093414,0.6096842489649518,2.0355148317091176,1.2005804848817545,1.243497173945729
TS Momentum,TSMOM(12m),0.0545352146740081,0.0693429185508177,0.8005614649799024,66.42857142857143,-0.216796340825436,0.2515504388421379,2.7274521241648393,0.7009275404938314,0.7690504962781836
TS Momentum,VMP(TSMOM(12m)),0.0698043497044087,0.0658062128248315,1.0584576619131831,—,-0.1379727765594274,0.5059284262090841,2.7274521241648393,0.9533441682020743,1.02522974696806
TS Momentum,TSMOM(6m),0.0701586080395915,0.0725372916537235,0.9711871989948612,70.0,-0.2417921078633423,0.2901608686055387,4.743593408586948,0.8052947929197279,0.9204580255661348
TS Momentum,VMP(TSMOM(6m)),0.0769800091838397,0.0675026843445931,1.1325880349497486,—,-0.1246515216324069,0.6175617286955479,4.743593408586948,0.9538713270805048,1.0779740903949682
Black-Litterman,BL-Eq(sample),0.1248431137835628,0.1392178006005158,0.9148981001698588,67.85714285714286,-0.3786137836370903,0.3297373713769166,0.0088477108487546,0.9147858127102304,0.914853305506315
Black-Litterman,VMP(BL-Eq(sample)),0.1512350039620333,0.1340707185777125,1.1179196714778663,—,-0.2738628137679579,0.5522290590725244,0.0088477108487546,1.1178028398789863,1.1178730519142908
Black-Litterman,BL-Eq(LW),0.1248431102643337,0.1392177980930665,0.9148980916461228,67.85714285714286,-0.3786137836346355,0.3297373620840176,0.0088475635636683,0.9147858068576532,0.914853297724556
Black-Litterman,VMP(BL-Eq(LW)),0.1512350043568529,0.1340707139110077,1.1179197082641892,—,-0.273862809432064,0.5522290692572812,0.0088475635636683,1.1178028794408834,1.1178730894713758
