Model,Mean val_MSE,Stdev val_MSE,Mean val_rank_IC,Stdev val_rank_IC,Min OOS Sharpe,Mean OOS Sharpe,Max OOS Sharpe
MLP,0.005432707443833351,7.874929570185413e-05,0.13645063614861883,0.026681166797823085,1.8841678954801948,2.2407416929546167,2.6208051451737364
LSTM,0.005513809621334076,7.095125366866461e-05,0.10484724379114414,0.011417681841341907,1.918731160225941,2.095486851020568,2.264012872467183
Transformer,0.005383466370403767,1.465637701497014e-05,0.1660477663959255,0.011956246963572127,2.0351194018500145,2.249611938893417,2.7718695713182715
